Reference_Date,Gold_Ask_995,Gold_Bid_995,Sov_Old_Ask,Sov_Old_Bid,Sov_New_Upto1973_Ask,Sov_New_Upto1973_Bid,Sov_New_Post1974_Ask,Sov_New_Post1974_Bid,Gold_Spread,Sov_Old_Spread,Sov_New_Upto1973_Spread,Sov_New_Post1974_Spread
2010-01-15,24.26,27.44,178.89,214.52,178.89,214.52,178.89,214.52,-3.18,-35.63,-35.63,-35.63
2010-01-20,24.56,27.79,181.34,216.79,181.34,216.79,181.34,216.79,-3.23,-35.45,-35.45,-35.45
2010-01-21,24.32,27.53,179.77,215.28,179.77,215.28,179.77,215.28,-3.21,-35.51,-35.51,-35.51
2010-01-22,23.79,26.93,175.83,210.3,175.83,210.3,175.83,210.3,-3.14,-34.47,-34.47,-34.47
2010-01-27,23.97,27.13,176.64,212.01,176.64,212.01,176.64,212.01,-3.16,-35.37,-35.37,-35.37
2010-02-02,24.32,27.53,179.88,214.95,179.88,214.95,179.88,214.95,-3.21,-35.07,-35.07,-35.07
2010-02-03,24.55,27.78,181.37,217.2,181.37,217.2,181.37,217.2,-3.23,-35.83,-35.83,-35.83
2010-02-05,23.87,27.01,176.19,210.63,176.19,210.63,176.19,210.63,-3.14,-34.44,-34.44,-34.44
2010-02-08,24.05,27.21,177.77,212.42,177.77,212.42,177.77,212.42,-3.16,-34.65,-34.65,-34.65
2010-02-12,24.52,27.75,180.96,216.52,180.96,216.52,180.96,216.52,-3.23,-35.56,-35.56,-35.56
2010-02-16,24.99,28.27,184.22,220.8,184.22,220.8,184.22,220.8,-3.28,-36.58,-36.58,-36.58
2010-02-19,25.16,28.46,185.8,222.78,185.8,222.78,185.8,222.78,-3.3,-36.98,-36.98,-36.98
2010-02-25,24.91,28.18,183.83,219.94,183.83,219.94,183.83,219.94,-3.27,-36.11,-36.11,-36.11
2010-02-26,25.1,28.39,185,221.73,185,221.73,185,221.73,-3.29,-36.73,-36.73,-36.73
2010-03-02,25.35,28.68,187.09,224.03,187.09,224.03,187.09,224.03,-3.33,-36.94,-36.94,-36.94
2010-03-03,25.57,28.93,188.64,226.27,188.64,226.27,188.64,226.27,-3.36,-37.63,-37.63,-37.63
2010-03-09,25.31,28.64,186.78,223.57,186.78,223.57,186.78,223.57,-3.33,-36.79,-36.79,-36.79
2010-03-11,24.89,28.17,183.98,219.74,183.98,219.74,183.98,219.74,-3.28,-35.76,-35.76,-35.76
2010-03-15,24.71,27.96,182.25,218.54,182.25,218.54,182.25,218.54,-3.25,-36.29,-36.29,-36.29
2010-03-16,24.96,28.24,184.28,220.77,184.28,220.77,184.28,220.77,-3.28,-36.49,-36.49,-36.49
2010-03-17,25.15,28.45,185.95,222.39,185.95,222.39,185.95,222.39,-3.3,-36.44,-36.44,-36.44
2010-03-19,25.37,28.7,187.43,224.25,187.43,224.25,187.43,224.25,-3.33,-36.82,-36.82,-36.82
2010-03-22,25.18,28.48,186.12,222.29,186.12,222.29,186.12,222.29,-3.3,-36.17,-36.17,-36.17
2010-03-29,25.31,28.64,187.01,224.04,187.01,224.04,187.01,224.04,-3.33,-37.03,-37.03,-37.03
2010-04-06,25.84,29.23,190.96,228.36,190.96,228.36,190.96,228.36,-3.39,-37.4,-37.4,-37.4
2010-04-07,26.15,29.58,193.01,230.62,193.01,230.62,193.01,230.62,-3.43,-37.61,-37.61,-37.61
2010-04-08,26.42,29.89,195.26,233.11,195.26,233.11,195.26,233.11,-3.47,-37.85,-37.85,-37.85
2010-04-12,26.19,29.63,193.04,231.62,193.04,231.62,193.04,231.62,-3.44,-38.58,-38.58,-38.58
2010-04-14,26.02,29.42,192.05,229.86,192.05,229.86,192.05,229.86,-3.4,-37.81,-37.81,-37.81
2010-04-16,26.21,29.65,193.71,231.84,193.71,231.84,193.71,231.84,-3.44,-38.13,-38.13,-38.13
2010-04-19,25.93,29.32,191.08,229.19,191.08,229.19,191.08,229.19,-3.39,-38.11,-38.11,-38.11
2010-04-21,26.18,29.61,193.33,230.9,193.33,230.9,193.33,230.9,-3.43,-37.57,-37.57,-37.57
2010-04-22,26.3,29.77,194.35,232.81,194.35,232.81,194.35,232.81,-3.47,-38.46,-38.46,-38.46
2010-04-26,26.65,30.16,196.96,235.63,196.96,235.63,196.96,235.63,-3.51,-38.67,-38.67,-38.67
2010-04-28,27.13,30.68,200.24,239.45,200.24,239.45,200.24,239.45,-3.55,-39.21,-39.21,-39.21
2010-05-03,27.36,30.96,201.98,242.02,201.98,242.02,201.98,242.02,-3.6,-40.04,-40.04,-40.04
2010-05-04,27.74,31.38,204.96,245.39,204.96,245.39,204.96,245.39,-3.64,-40.43,-40.43,-40.43
2010-05-06,28.16,31.85,208.15,248.59,208.15,248.59,208.15,248.59,-3.69,-40.44,-40.44,-40.44
2010-05-07,29.06,32.88,214.4,256.36,214.4,256.36,214.4,256.36,-3.82,-41.96,-41.96,-41.96
2010-05-10,28.53,32.28,210.38,252.37,210.38,252.37,210.38,252.37,-3.75,-41.99,-41.99,-41.99
2010-05-11,29.09,32.9,214.59,257.3,214.59,257.3,214.59,257.3,-3.81,-42.71,-42.71,-42.71
2010-05-12,30.08,34.02,222.09,265.54,222.09,265.54,222.09,265.54,-3.94,-43.45,-43.45,-43.45
2010-05-14,30.58,34.59,226.17,270.2,226.17,270.2,226.17,270.2,-4.01,-44.03,-44.03,-44.03
2010-05-17,31.06,35.13,228.14,272.76,228.14,272.76,228.14,272.76,-4.07,-44.62,-44.62,-44.62
2010-05-18,30.07,34,221.85,265.78,221.85,265.78,221.85,265.78,-3.93,-43.93,-43.93,-43.93
2010-05-19,30.75,34.78,226.93,271.74,226.93,271.74,226.93,271.74,-4.03,-44.81,-44.81,-44.81
2010-05-20,29.71,33.61,219.4,262.42,219.4,262.42,219.4,262.42,-3.9,-43.02,-43.02,-43.02
2010-05-21,28.62,32.38,211.63,252.74,211.63,252.74,211.63,252.74,-3.76,-41.11,-41.11,-41.11
2010-05-25,29.8,33.71,220.37,263.59,220.37,263.59,220.37,263.59,-3.91,-43.22,-43.22,-43.22
2010-05-26,30.13,34.08,222.78,266.14,222.78,266.14,222.78,266.14,-3.95,-43.36,-43.36,-43.36
2010-05-27,30.5,34.49,224.88,269.3,224.88,269.3,224.88,269.3,-3.99,-44.42,-44.42,-44.42
2010-05-28,30.27,34.24,223.67,267.1,223.67,267.1,223.67,267.1,-3.97,-43.43,-43.43,-43.43
2010-06-01,30.83,34.87,227.82,271.84,227.82,271.84,227.82,271.84,-4.04,-44.02,-44.02,-44.02
2010-06-03,30.57,34.56,225.41,269.83,225.41,269.83,225.41,269.83,-3.99,-44.42,-44.42,-44.42
2010-06-07,31.44,35.56,232.52,277.44,232.52,277.44,232.52,277.44,-4.12,-44.92,-44.92,-44.92
2010-06-08,32.22,36.43,238.34,284.5,238.34,284.5,238.34,284.5,-4.21,-46.16,-46.16,-46.16
2010-06-09,31.9,36.07,235.61,281.57,235.61,281.57,235.61,281.57,-4.17,-45.96,-45.96,-45.96
2010-06-10,31.37,35.48,231.53,276.91,231.53,276.91,231.53,276.91,-4.11,-45.38,-45.38,-45.38
2010-06-11,30.92,34.96,227.92,272.93,227.92,272.93,227.92,272.93,-4.04,-45.01,-45.01,-45.01
2010-06-14,31.14,35.2,230.16,275.17,230.16,275.17,230.16,275.17,-4.06,-45.01,-45.01,-45.01
2010-06-15,30.73,34.75,226.84,271.52,226.84,271.52,226.84,271.52,-4.02,-44.68,-44.68,-44.68
2010-06-21,31.15,35.23,230.04,277.78,230.04,277.78,230.04,277.78,-4.08,-47.74,-47.74,-47.74
2010-06-22,30.95,34.99,228.47,275.61,228.47,275.61,228.47,275.61,-4.04,-47.14,-47.14,-47.14
2010-06-28,31.18,35.25,230.11,277.98,230.11,277.98,230.11,277.98,-4.07,-47.87,-47.87,-47.87
2010-07-02,29.66,33.55,219.01,264.16,219.01,264.16,219.01,264.16,-3.89,-45.15,-45.15,-45.15
2010-07-07,29.1,32.9,214.62,259.32,214.62,259.32,214.62,259.32,-3.8,-44.7,-44.7,-44.7
2010-07-12,29.51,33.37,217.59,263.29,217.59,263.29,217.59,263.29,-3.86,-45.7,-45.7,-45.7
2010-07-13,29.28,33.11,216.08,260.86,216.08,260.86,216.08,260.86,-3.83,-44.78,-44.78,-44.78
2010-07-16,28.73,32.49,212.14,255.9,212.14,255.9,212.14,255.9,-3.76,-43.76,-43.76,-43.76
2010-07-19,28.24,31.94,208.39,251.81,208.39,251.81,208.39,251.81,-3.7,-43.42,-43.42,-43.42
2010-07-20,28.06,31.73,206.75,250.05,206.75,250.05,206.75,250.05,-3.67,-43.3,-43.3,-43.3
2010-07-21,28.25,31.95,209.74,252.62,209.74,252.62,209.74,252.62,-3.7,-42.88,-42.88,-42.88
2010-07-22,28.54,32.28,210.67,254.67,210.67,254.67,210.67,254.67,-3.74,-44,-44,-44
2010-07-27,28.04,31.71,207.08,249.53,207.08,249.53,207.08,249.53,-3.67,-42.45,-42.45,-42.45
2010-07-28,27.53,31.14,203.29,245.51,203.29,245.51,203.29,245.51,-3.61,-42.22,-42.22,-42.22
2010-08-02,27.82,31.46,205.04,247.99,205.04,247.99,205.04,247.99,-3.64,-42.95,-42.95,-42.95
2010-08-03,27.58,31.2,203.55,246.19,203.55,246.19,203.55,246.19,-3.62,-42.64,-42.64,-42.64
2010-08-05,27.91,31.56,206.17,249.03,206.17,249.03,206.17,249.03,-3.65,-42.86,-42.86,-42.86
2010-08-11,28.2,31.89,208.31,251.39,208.31,251.39,208.31,251.39,-3.69,-43.08,-43.08,-43.08
2010-08-12,28.62,32.38,211.28,255.08,211.28,255.08,211.28,255.08,-3.76,-43.8,-43.8,-43.8
2010-08-13,29.07,32.87,214.76,258.83,214.76,258.83,214.76,258.83,-3.8,-44.07,-44.07,-44.07
2010-08-16,29.29,33.13,216.58,260.92,216.58,260.92,216.58,260.92,-3.84,-44.34,-44.34,-44.34
2010-08-19,29.52,33.38,217.96,263.17,217.96,263.17,217.96,263.17,-3.86,-45.21,-45.21,-45.21
2010-08-23,29.71,33.6,219.33,264.82,219.33,264.82,219.33,264.82,-3.89,-45.49,-45.49,-45.49
2010-08-25,29.94,33.85,221.39,267.2,221.39,267.2,221.39,267.2,-3.91,-45.81,-45.81,-45.81
2010-09-01,30.2,34.14,222.77,269.36,222.77,269.36,222.77,269.36,-3.94,-46.59,-46.59,-46.59
2010-09-02,29.97,33.88,221.16,267.41,221.16,267.41,221.16,267.41,-3.91,-46.25,-46.25,-46.25
2010-09-06,29.79,33.7,219.45,265.35,219.45,265.35,219.45,265.35,-3.91,-45.9,-45.9,-45.9
2010-09-07,30.02,33.94,221.92,267.39,221.92,267.39,221.92,267.39,-3.92,-45.47,-45.47,-45.47
2010-09-08,30.43,34.41,225.03,270.91,225.03,270.91,225.03,270.91,-3.98,-45.88,-45.88,-45.88
2010-09-10,30.23,34.19,223.19,269.86,223.19,269.86,223.19,269.86,-3.96,-46.67,-46.67,-46.67
2010-09-13,29.92,33.83,221.12,266.54,221.12,266.54,221.12,266.54,-3.91,-45.42,-45.42,-45.42
2010-09-15,30.13,34.06,222.79,268.72,222.79,268.72,222.79,268.72,-3.93,-45.93,-45.93,-45.93
